window_id,percentile,rank,policy_id,policy_name,semantic_score,theta
31,top10%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top10%,5,637c6766,reind_637c,0.8853,-4.9936
31,top10%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top10%,7,8231da93,reind_8231,0.8567,-4.9926
31,top10%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top20%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top20%,2,366289ca,reind_3662,0.9933,-4.9929
31,top20%,3,c6739e51,reind_c673,0.9667,-5.0
31,top20%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top20%,5,637c6766,reind_637c,0.8853,-4.9936
31,top20%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top20%,7,8231da93,reind_8231,0.8567,-4.9926
31,top20%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top20%,9,1999ea44,reind_1999,0.85,-5.0
31,top20%,10,ae5b5760,reind_ae5b,0.8499,-5.0
31,top50%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top50%,2,366289ca,reind_3662,0.9933,-4.9929
31,top50%,3,c6739e51,reind_c673,0.9667,-5.0
31,top50%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top50%,5,637c6766,reind_637c,0.8853,-4.9936
31,top50%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top50%,7,8231da93,reind_8231,0.8567,-4.9926
31,top50%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top50%,9,1999ea44,reind_1999,0.85,-5.0
31,top50%,10,ae5b5760,reind_ae5b,0.8499,-5.0
31,top60%,1,a5faab0b,reind_a5fa,0.9946,-5.0
31,top60%,2,366289ca,reind_3662,0.9933,-4.9929
31,top60%,3,c6739e51,reind_c673,0.9667,-5.0
31,top60%,4,5c8683b2,reind_5c86,0.9287,-5.0
31,top60%,5,637c6766,reind_637c,0.8853,-4.9936
31,top60%,6,a0fcabaf,reind_a0fc,0.8655,-5.0
31,top60%,7,8231da93,reind_8231,0.8567,-4.9926
31,top60%,8,9ab1ea3b,reind_9ab1,0.8505,-5.0
31,top60%,9,1999ea44,reind_1999,0.85,-5.0
31,top60%,10,ae5b5760,reind_ae5b,0.8499,-5.0
32,top10%,1,366289ca,reind_3662,0.9906,-4.9929
32,top10%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top10%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top10%,4,637c6766,reind_637c,0.8948,-4.9936
32,top10%,5,8231da93,reind_8231,0.8906,-4.9926
32,top10%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top10%,7,c190390d,reind_c190,0.8487,-5.0
32,top10%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top20%,1,366289ca,reind_3662,0.9906,-4.9929
32,top20%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top20%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top20%,4,637c6766,reind_637c,0.8948,-4.9936
32,top20%,5,8231da93,reind_8231,0.8906,-4.9926
32,top20%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top20%,7,c190390d,reind_c190,0.8487,-5.0
32,top20%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top20%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top20%,10,6215172a,reind_6215,0.8472,-5.0
32,top50%,1,366289ca,reind_3662,0.9906,-4.9929
32,top50%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top50%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top50%,4,637c6766,reind_637c,0.8948,-4.9936
32,top50%,5,8231da93,reind_8231,0.8906,-4.9926
32,top50%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top50%,7,c190390d,reind_c190,0.8487,-5.0
32,top50%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top50%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top50%,10,6215172a,reind_6215,0.8472,-5.0
32,top60%,1,366289ca,reind_3662,0.9906,-4.9929
32,top60%,2,5c8683b2,reind_5c86,0.9364,-5.0
32,top60%,3,a0fcabaf,reind_a0fc,0.8985,-5.0
32,top60%,4,637c6766,reind_637c,0.8948,-4.9936
32,top60%,5,8231da93,reind_8231,0.8906,-4.9926
32,top60%,6,a5faab0b,reind_a5fa,0.8496,-5.0
32,top60%,7,c190390d,reind_c190,0.8487,-5.0
32,top60%,8,9b6a2466,policy_0_9b6a,0.8483,-4.9931
32,top60%,9,ae5b5760,reind_ae5b,0.8482,-5.0
32,top60%,10,6215172a,reind_6215,0.8472,-5.0
34,top10%,1,366289ca,reind_3662,0.9801,-4.9929
34,top10%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top10%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top10%,4,637c6766,reind_637c,0.9199,-4.9936
34,top10%,5,64527318,reind_6452,0.8505,-4.9931
34,top10%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top10%,7,c6739e51,reind_c673,0.8457,-5.0
34,top10%,8,6215172a,reind_6215,0.8406,-5.0
34,top20%,1,366289ca,reind_3662,0.9801,-4.9929
34,top20%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top20%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top20%,4,637c6766,reind_637c,0.9199,-4.9936
34,top20%,5,64527318,reind_6452,0.8505,-4.9931
34,top20%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top20%,7,c6739e51,reind_c673,0.8457,-5.0
34,top20%,8,6215172a,reind_6215,0.8406,-5.0
34,top20%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top20%,10,f11f0bb5,reind_f11f,0.8276,-5.0
34,top50%,1,366289ca,reind_3662,0.9801,-4.9929
34,top50%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top50%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top50%,4,637c6766,reind_637c,0.9199,-4.9936
34,top50%,5,64527318,reind_6452,0.8505,-4.9931
34,top50%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top50%,7,c6739e51,reind_c673,0.8457,-5.0
34,top50%,8,6215172a,reind_6215,0.8406,-5.0
34,top50%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top50%,10,f11f0bb5,reind_f11f,0.8276,-5.0
34,top60%,1,366289ca,reind_3662,0.9801,-4.9929
34,top60%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top60%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top60%,4,637c6766,reind_637c,0.9199,-4.9936
34,top60%,5,64527318,reind_6452,0.8505,-4.9931
34,top60%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top60%,7,c6739e51,reind_c673,0.8457,-5.0
34,top60%,8,6215172a,reind_6215,0.8406,-5.0
34,top60%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top60%,10,f11f0bb5,reind_f11f,0.8276,-5.0
33,top10%,1,6215172a,reind_6215,0.9866,-5.0
33,top10%,2,366289ca,reind_3662,0.9745,-4.9929
33,top10%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top10%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top10%,5,637c6766,reind_637c,0.9297,-4.9936
33,top10%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top10%,7,64527318,reind_6452,0.8633,-4.9931
33,top10%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top20%,1,6215172a,reind_6215,0.9866,-5.0
33,top20%,2,366289ca,reind_3662,0.9745,-4.9929
33,top20%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top20%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top20%,5,637c6766,reind_637c,0.9297,-4.9936
33,top20%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top20%,7,64527318,reind_6452,0.8633,-4.9931
33,top20%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top20%,9,c190390d,reind_c190,0.8441,-5.0
33,top20%,10,ae5b5760,reind_ae5b,0.8431,-5.0
33,top50%,1,6215172a,reind_6215,0.9866,-5.0
33,top50%,2,366289ca,reind_3662,0.9745,-4.9929
33,top50%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top50%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top50%,5,637c6766,reind_637c,0.9297,-4.9936
33,top50%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top50%,7,64527318,reind_6452,0.8633,-4.9931
33,top50%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top50%,9,c190390d,reind_c190,0.8441,-5.0
33,top50%,10,ae5b5760,reind_ae5b,0.8431,-5.0
33,top60%,1,6215172a,reind_6215,0.9866,-5.0
33,top60%,2,366289ca,reind_3662,0.9745,-4.9929
33,top60%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top60%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top60%,5,637c6766,reind_637c,0.9297,-4.9936
33,top60%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top60%,7,64527318,reind_6452,0.8633,-4.9931
33,top60%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top60%,9,c190390d,reind_c190,0.8441,-5.0
33,top60%,10,ae5b5760,reind_ae5b,0.8431,-5.0
36,top10%,1,5c8683b2,reind_5c86,0.9841,-5.0
36,top10%,2,637c6766,reind_637c,0.9594,-4.9936
36,top10%,3,9cd9b29f,reind_9cd9,0.9411,-4.9923
36,top10%,4,64527318,reind_6452,0.9044,-4.9931
36,top10%,5,ae5b5760,reind_ae5b,0.8407,-5.0
36,top10%,6,6215172a,reind_6215,0.8173,-5.0
36,top10%,7,366289ca,reind_3662,0.7998,-4.9929
36,top10%,8,77b961ff,reind_77b9,0.7912,-4.9889
36,top20%,1,5c8683b2,reind_5c86,0.9841,-5.0
36,top20%,2,637c6766,reind_637c,0.9594,-4.9936
36,top20%,3,9cd9b29f,reind_9cd9,0.9411,-4.9923
36,top20%,4,64527318,reind_6452,0.9044,-4.9931
36,top20%,5,ae5b5760,reind_ae5b,0.8407,-5.0
36,top20%,6,6215172a,reind_6215,0.8173,-5.0
36,top20%,7,366289ca,reind_3662,0.7998,-4.9929
36,top20%,8,77b961ff,reind_77b9,0.7912,-4.9889
36,top20%,9,05eed594,reind_fallback,0.7885,-5.0
36,top20%,10,a0fcabaf,reind_a0fc,0.7781,-5.0
36,top50%,1,5c8683b2,reind_5c86,0.9841,-5.0
36,top50%,2,637c6766,reind_637c,0.9594,-4.9936
36,top50%,3,9cd9b29f,reind_9cd9,0.9411,-4.9923
36,top50%,4,64527318,reind_6452,0.9044,-4.9931
36,top50%,5,ae5b5760,reind_ae5b,0.8407,-5.0
36,top50%,6,6215172a,reind_6215,0.8173,-5.0
36,top50%,7,366289ca,reind_3662,0.7998,-4.9929
36,top50%,8,77b961ff,reind_77b9,0.7912,-4.9889
36,top50%,9,05eed594,reind_fallback,0.7885,-5.0
36,top50%,10,a0fcabaf,reind_a0fc,0.7781,-5.0
36,top60%,1,5c8683b2,reind_5c86,0.9841,-5.0
36,top60%,2,637c6766,reind_637c,0.9594,-4.9936
36,top60%,3,9cd9b29f,reind_9cd9,0.9411,-4.9923
36,top60%,4,64527318,reind_6452,0.9044,-4.9931
36,top60%,5,ae5b5760,reind_ae5b,0.8407,-5.0
36,top60%,6,6215172a,reind_6215,0.8173,-5.0
36,top60%,7,366289ca,reind_3662,0.7998,-4.9929
36,top60%,8,77b961ff,reind_77b9,0.7912,-4.9889
36,top60%,9,05eed594,reind_fallback,0.7885,-5.0
36,top60%,10,a0fcabaf,reind_a0fc,0.7781,-5.0
35,top10%,1,5c8683b2,reind_5c86,0.9776,-5.0
35,top10%,2,637c6766,reind_637c,0.9496,-4.9936
35,top10%,3,64527318,reind_6452,0.8903,-4.9931
35,top10%,4,ae5b5760,reind_ae5b,0.8431,-5.0
35,top10%,5,6215172a,reind_6215,0.8252,-5.0
35,top10%,6,366289ca,reind_3662,0.8096,-4.9929
35,top10%,7,9cd9b29f,reind_9cd9,0.8017,-4.9923
35,top10%,8,77b961ff,reind_77b9,0.7971,-4.9889
35,top20%,1,5c8683b2,reind_5c86,0.9776,-5.0
35,top20%,2,637c6766,reind_637c,0.9496,-4.9936
35,top20%,3,64527318,reind_6452,0.8903,-4.9931
35,top20%,4,ae5b5760,reind_ae5b,0.8431,-5.0
35,top20%,5,6215172a,reind_6215,0.8252,-5.0
35,top20%,6,366289ca,reind_3662,0.8096,-4.9929
35,top20%,7,9cd9b29f,reind_9cd9,0.8017,-4.9923
35,top20%,8,77b961ff,reind_77b9,0.7971,-4.9889
35,top20%,9,05eed594,reind_fallback,0.7885,-5.0
35,top20%,10,4f156c9f,reind_fallback,0.7748,-5.0
35,top50%,1,5c8683b2,reind_5c86,0.9776,-5.0
35,top50%,2,637c6766,reind_637c,0.9496,-4.9936
35,top50%,3,64527318,reind_6452,0.8903,-4.9931
35,top50%,4,ae5b5760,reind_ae5b,0.8431,-5.0
35,top50%,5,6215172a,reind_6215,0.8252,-5.0
35,top50%,6,366289ca,reind_3662,0.8096,-4.9929
35,top50%,7,9cd9b29f,reind_9cd9,0.8017,-4.9923
35,top50%,8,77b961ff,reind_77b9,0.7971,-4.9889
35,top50%,9,05eed594,reind_fallback,0.7885,-5.0
35,top50%,10,4f156c9f,reind_fallback,0.7748,-5.0
35,top60%,1,5c8683b2,reind_5c86,0.9776,-5.0
35,top60%,2,637c6766,reind_637c,0.9496,-4.9936
35,top60%,3,64527318,reind_6452,0.8903,-4.9931
35,top60%,4,ae5b5760,reind_ae5b,0.8431,-5.0
35,top60%,5,6215172a,reind_6215,0.8252,-5.0
35,top60%,6,366289ca,reind_3662,0.8096,-4.9929
35,top60%,7,9cd9b29f,reind_9cd9,0.8017,-4.9923
35,top60%,8,77b961ff,reind_77b9,0.7971,-4.9889
35,top60%,9,05eed594,reind_fallback,0.7885,-5.0
35,top60%,10,4f156c9f,reind_fallback,0.7748,-5.0
37,top10%,1,5c8683b2,reind_5c86,0.9941,-5.0
37,top10%,2,637c6766,reind_637c,0.9767,-4.9936
37,top10%,3,64527318,reind_6452,0.9313,-4.9931
37,top10%,4,9cd9b29f,reind_9cd9,0.9159,-4.9923
37,top10%,5,c6739e51,reind_c673,0.8428,-5.0
37,top10%,6,ae5b5760,reind_ae5b,0.8421,-5.0
37,top10%,7,6215172a,reind_6215,0.7974,-5.0
37,top10%,8,77b961ff,reind_77b9,0.7946,-4.9889
37,top20%,1,5c8683b2,reind_5c86,0.9941,-5.0
37,top20%,2,637c6766,reind_637c,0.9767,-4.9936
37,top20%,3,64527318,reind_6452,0.9313,-4.9931
37,top20%,4,9cd9b29f,reind_9cd9,0.9159,-4.9923
37,top20%,5,c6739e51,reind_c673,0.8428,-5.0
37,top20%,6,ae5b5760,reind_ae5b,0.8421,-5.0
37,top20%,7,6215172a,reind_6215,0.7974,-5.0
37,top20%,8,77b961ff,reind_77b9,0.7946,-4.9889
37,top20%,9,05eed594,reind_fallback,0.7885,-5.0
37,top20%,10,366289ca,reind_3662,0.7761,-4.9929
37,top50%,1,5c8683b2,reind_5c86,0.9941,-5.0
37,top50%,2,637c6766,reind_637c,0.9767,-4.9936
37,top50%,3,64527318,reind_6452,0.9313,-4.9931
37,top50%,4,9cd9b29f,reind_9cd9,0.9159,-4.9923
37,top50%,5,c6739e51,reind_c673,0.8428,-5.0
37,top50%,6,ae5b5760,reind_ae5b,0.8421,-5.0
37,top50%,7,6215172a,reind_6215,0.7974,-5.0
37,top50%,8,77b961ff,reind_77b9,0.7946,-4.9889
37,top50%,9,05eed594,reind_fallback,0.7885,-5.0
37,top50%,10,366289ca,reind_3662,0.7761,-4.9929
37,top60%,1,5c8683b2,reind_5c86,0.9941,-5.0
37,top60%,2,637c6766,reind_637c,0.9767,-4.9936
37,top60%,3,64527318,reind_6452,0.9313,-4.9931
37,top60%,4,9cd9b29f,reind_9cd9,0.9159,-4.9923
37,top60%,5,c6739e51,reind_c673,0.8428,-5.0
37,top60%,6,ae5b5760,reind_ae5b,0.8421,-5.0
37,top60%,7,6215172a,reind_6215,0.7974,-5.0
37,top60%,8,77b961ff,reind_77b9,0.7946,-4.9889
37,top60%,9,05eed594,reind_fallback,0.7885,-5.0
37,top60%,10,366289ca,reind_3662,0.7761,-4.9929
39,top10%,1,637c6766,reind_637c,1.0,-4.9936
39,top10%,2,9b6a2466,policy_0_9b6a,0.8489,-4.9931
39,top10%,3,c190390d,reind_c190,0.848,-5.0
39,top10%,4,ae5b5760,reind_ae5b,0.8474,-5.0
39,top10%,5,eeced638,reind_eece,0.8468,-5.0
39,top10%,6,5c8683b2,reind_5c86,0.8448,-5.0
39,top10%,7,64527318,reind_6452,0.8362,-4.9931
39,top10%,8,c6739e51,reind_c673,0.8351,-5.0
39,top20%,1,637c6766,reind_637c,1.0,-4.9936
39,top20%,2,9b6a2466,policy_0_9b6a,0.8489,-4.9931
39,top20%,3,c190390d,reind_c190,0.848,-5.0
39,top20%,4,ae5b5760,reind_ae5b,0.8474,-5.0
39,top20%,5,eeced638,reind_eece,0.8468,-5.0
39,top20%,6,5c8683b2,reind_5c86,0.8448,-5.0
39,top20%,7,64527318,reind_6452,0.8362,-4.9931
39,top20%,8,c6739e51,reind_c673,0.8351,-5.0
39,top20%,9,366289ca,reind_3662,0.8339,-4.9929
39,top20%,10,f11f0bb5,reind_f11f,0.8276,-5.0
39,top50%,1,637c6766,reind_637c,1.0,-4.9936
39,top50%,2,9b6a2466,policy_0_9b6a,0.8489,-4.9931
39,top50%,3,c190390d,reind_c190,0.848,-5.0
39,top50%,4,ae5b5760,reind_ae5b,0.8474,-5.0
39,top50%,5,eeced638,reind_eece,0.8468,-5.0
39,top50%,6,5c8683b2,reind_5c86,0.8448,-5.0
39,top50%,7,64527318,reind_6452,0.8362,-4.9931
39,top50%,8,c6739e51,reind_c673,0.8351,-5.0
39,top50%,9,366289ca,reind_3662,0.8339,-4.9929
39,top50%,10,f11f0bb5,reind_f11f,0.8276,-5.0
39,top60%,1,637c6766,reind_637c,1.0,-4.9936
39,top60%,2,9b6a2466,policy_0_9b6a,0.8489,-4.9931
39,top60%,3,c190390d,reind_c190,0.848,-5.0
39,top60%,4,ae5b5760,reind_ae5b,0.8474,-5.0
39,top60%,5,eeced638,reind_eece,0.8468,-5.0
39,top60%,6,5c8683b2,reind_5c86,0.8448,-5.0
39,top60%,7,64527318,reind_6452,0.8362,-4.9931
39,top60%,8,c6739e51,reind_c673,0.8351,-5.0
39,top60%,9,366289ca,reind_3662,0.8339,-4.9929
39,top60%,10,f11f0bb5,reind_f11f,0.8276,-5.0
38,top10%,1,5c8683b2,reind_5c86,0.996,-5.0
38,top10%,2,637c6766,reind_637c,0.9806,-4.9936
38,top10%,3,64527318,reind_6452,0.938,-4.9931
38,top10%,4,366289ca,reind_3662,0.9189,-4.9929
38,top10%,5,9cd9b29f,reind_9cd9,0.9083,-4.9923
38,top10%,6,ae5b5760,reind_ae5b,0.8437,-5.0
38,top10%,7,c6739e51,reind_c673,0.8412,-5.0
38,top10%,8,77b961ff,reind_77b9,0.7988,-4.9889
38,top20%,1,5c8683b2,reind_5c86,0.996,-5.0
38,top20%,2,637c6766,reind_637c,0.9806,-4.9936
38,top20%,3,64527318,reind_6452,0.938,-4.9931
38,top20%,4,366289ca,reind_3662,0.9189,-4.9929
38,top20%,5,9cd9b29f,reind_9cd9,0.9083,-4.9923
38,top20%,6,ae5b5760,reind_ae5b,0.8437,-5.0
38,top20%,7,c6739e51,reind_c673,0.8412,-5.0
38,top20%,8,77b961ff,reind_77b9,0.7988,-4.9889
38,top20%,9,6215172a,reind_6215,0.7912,-5.0
38,top20%,10,05eed594,reind_fallback,0.7885,-5.0
38,top50%,1,5c8683b2,reind_5c86,0.996,-5.0
38,top50%,2,637c6766,reind_637c,0.9806,-4.9936
38,top50%,3,64527318,reind_6452,0.938,-4.9931
38,top50%,4,366289ca,reind_3662,0.9189,-4.9929
38,top50%,5,9cd9b29f,reind_9cd9,0.9083,-4.9923
38,top50%,6,ae5b5760,reind_ae5b,0.8437,-5.0
38,top50%,7,c6739e51,reind_c673,0.8412,-5.0
38,top50%,8,77b961ff,reind_77b9,0.7988,-4.9889
38,top50%,9,6215172a,reind_6215,0.7912,-5.0
38,top50%,10,05eed594,reind_fallback,0.7885,-5.0
38,top60%,1,5c8683b2,reind_5c86,0.996,-5.0
38,top60%,2,637c6766,reind_637c,0.9806,-4.9936
38,top60%,3,64527318,reind_6452,0.938,-4.9931
38,top60%,4,366289ca,reind_3662,0.9189,-4.9929
38,top60%,5,9cd9b29f,reind_9cd9,0.9083,-4.9923
38,top60%,6,ae5b5760,reind_ae5b,0.8437,-5.0
38,top60%,7,c6739e51,reind_c673,0.8412,-5.0
38,top60%,8,77b961ff,reind_77b9,0.7988,-4.9889
38,top60%,9,6215172a,reind_6215,0.7912,-5.0
38,top60%,10,05eed594,reind_fallback,0.7885,-5.0
40,top10%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top10%,2,637c6766,reind_637c,0.9692,-4.9936
40,top10%,3,366289ca,reind_3662,0.9377,-4.9929
40,top10%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top10%,5,64527318,reind_6452,0.9192,-4.9931
40,top10%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top10%,7,8231da93,reind_8231,0.8862,-4.9926
40,top10%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top20%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top20%,2,637c6766,reind_637c,0.9692,-4.9936
40,top20%,3,366289ca,reind_3662,0.9377,-4.9929
40,top20%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top20%,5,64527318,reind_6452,0.9192,-4.9931
40,top20%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top20%,7,8231da93,reind_8231,0.8862,-4.9926
40,top20%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top20%,9,c190390d,reind_c190,0.8492,-5.0
40,top20%,10,ae5b5760,reind_ae5b,0.8487,-5.0
40,top50%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top50%,2,637c6766,reind_637c,0.9692,-4.9936
40,top50%,3,366289ca,reind_3662,0.9377,-4.9929
40,top50%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top50%,5,64527318,reind_6452,0.9192,-4.9931
40,top50%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top50%,7,8231da93,reind_8231,0.8862,-4.9926
40,top50%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top50%,9,c190390d,reind_c190,0.8492,-5.0
40,top50%,10,ae5b5760,reind_ae5b,0.8487,-5.0
40,top60%,1,5c8683b2,reind_5c86,0.99,-5.0
40,top60%,2,637c6766,reind_637c,0.9692,-4.9936
40,top60%,3,366289ca,reind_3662,0.9377,-4.9929
40,top60%,4,9cd9b29f,reind_9cd9,0.9282,-4.9923
40,top60%,5,64527318,reind_6452,0.9192,-4.9931
40,top60%,6,f11f0bb5,reind_f11f,0.9009,-5.0
40,top60%,7,8231da93,reind_8231,0.8862,-4.9926
40,top60%,8,a5faab0b,reind_a5fa,0.8492,-5.0
40,top60%,9,c190390d,reind_c190,0.8492,-5.0
40,top60%,10,ae5b5760,reind_ae5b,0.8487,-5.0
